,bpy_intro,en_categories,title,language,link
38,"সুড মেন্নুকসি (পর্তুগীজ:Sud Mennucci), এহান ব্রাজিলর খামুঙ লয়ার সাও পাউলো রাজ্যর পৌরসভা আহান।",Category:1892 births|Category:1948 deaths|Category:20th-century Brazilian journalists|Category:All articles needing additional references|Category:All stub articles|Category:Articles needing additional references from June 2024|Category:Articles with hCards|Category:Articles with short description|Category:Brazilian educators|Category:Brazilian journalist stubs|Category:Brazilian people of Italian descent|Category:People from Piracicaba|Category:Short description matches Wikidata,Sud Mennucci,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%B8%E0%A7%81%E0%A6%A1_%E0%A6%AE%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A7%81%E0%A6%95%E0%A6%B8%E0%A6%BF
39,"রিচার্ড উইলিয়াম টিম (মার্চ ২, মারি ১৯২৩–সেপ্টেম্বর ১১, মারি ২০২০) নিয়াম নাঙজাদা শিক্ষাবিদ, প্রাণীবিজ্ঞানী, ক্যাথলিক ধর্মপ্রচারক, উন্নয়নকর্মী বারো মানবাধিকারকর্মী আগো। মারি ১৯৭০ ত্ত মারি ১৯৭১ পেয়া গিরক নটর ডেম কলেজর প্রিন্সিপালগ আসিল।","Category:1923 births|Category:2020 deaths|Category:20th-century zoologists|Category:21st-century American zoologists|Category:Academic staff of Notre Dame College, Dhaka|Category:American Roman Catholic missionaries|Category:American emigrants to Pakistan|Category:American marine biologists|Category:American microbiologists|Category:American people of German descent|Category:Articles with hCards|Category:Articles with short description|Category:Bangladeshi Christians|Category:Bangladeshi activists|Category:Bangladeshi educators|Category:Bangladeshi microbiologists|Category:Bangladeshi people of German descent|Category:Bangladeshi zoologists|Category:CS1 Spanish-language sources (es)|Category:CS1 maint: multiple names: authors list|Category:Catholic University of America alumni|Category:Commons category link from Wikidata|Category:Congregation of Holy Cross|Category:Naturalised citizens of Bangladesh|Category:Nematologists|Category:People from Michigan City, Indiana|Category:Short description is different from Wikidata|Category:University of California faculty|Category:University of Notre Dame alumni|Category:Wikipedia articles needing clarification from May 2024|Category:Writers from Indiana",Richard William Timm,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%B0%E0%A6%BF%E0%A6%9A%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A1_%E0%A6%89%E0%A6%87%E0%A6%B2%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE%E0%A6%AE_%E0%A6%9F%E0%A6%BF%E0%A6%AE
40,"এ কে ফায়েজুল হক (মার্চ ১৫, মারি ১৯৪৪ - জুলাই ১৯, মারি ২০০৭) গিরক বাংলাদেশর রাজনীতিবিদ আগ বারো বাংলাদেশ সংসদর ডাঙরিয়া সদস্য আগ আসিল। গিরক আবুল কাশেম ফজলুল হকর পিতক।","Category:1945 births|Category:2007 deaths|Category:20th-century Bengalis|Category:2nd Jatiya Sangsad members|Category:7th Jatiya Sangsad members|Category:A. K. Fazlul Huq|Category:Academic staff of Notre Dame College, Dhaka|Category:All Wikipedia articles in need of updating|Category:All Wikipedia articles written in Bangladeshi English|Category:All articles needing additional references|Category:All articles with unsourced statements|Category:Articles containing Bengali-language text|Category:Articles needing additional references from December 2024|Category:Articles with short description|Category:Articles with unsourced statements from December 2024|Category:Articles with unsourced statements from June 2017|Category:Awami League politicians|Category:Bangladesh Nationalist Party politicians|Category:Burials at Banani Graveyard|Category:Candidates in the 1970 Pakistani general election|Category:Children of prime ministers|Category:Members of the Constituent Assembly of Bangladesh|Category:Notre Dame College, Dhaka alumni|Category:People from Bogra District|Category:Short description matches Wikidata|Category:St. Gregory's High School and College alumni|Category:State Ministers of Textiles and Jute (Bangladesh)|Category:State ministers of housing and public works of Bangladesh|Category:University of Dhaka alumni|Category:Use Bangladeshi English from February 2023|Category:Use dmy dates from July 2024|Category:Wikipedia articles in need of updating from December 2024",A. K. Faezul Huq,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%8F_%E0%A6%95%E0%A7%87_%E0%A6%AB%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%9C%E0%A7%81%E0%A6%B2_%E0%A6%B9%E0%A6%95
41,"সুং জেগি(কোরিয়া: 성재기; 成在基, সেপ্টেম্বর ১১ মারি ১৯৬৭ - জুলাই ২৬ মারি ২০১৩) দক্ষিণ কোরিয়ার মানবাধিকার কর্মী এবং সিভিল অধিকার কর্মী, উদারনীতি দার্শনিক ছিল। জানুয়ারী ২৪ মারি ২০০৮, তিনি কোরিয়ান পুরুষদের সমিতির(남성연대;男性連帶) প্রতিষ্ঠাতা ছিল। মারি ১৯৯৯ - মারি ২০১৩, তিনি বিরোধী নারীবাদ আন্দোলন, উদারনীতি আন্দোলন এবং লিঙ্গ স্বাধীনতা আন্দোলন ছিল্ল। এছাড়াও তিনি নারী মন্ত্রণালয়(여성부;女性部, ministry of Moman) বিপরীত আন্দোলন।",Category:1967 births|Category:2013 deaths|Category:All Wikipedia articles written in American English|Category:All articles with dead external links|Category:Antifeminism in South Korea|Category:Articles containing Korean-language text|Category:Articles with Korean-language sources (ko)|Category:Articles with dead external links from September 2023|Category:Articles with hCards|Category:Articles with permanently dead external links|Category:Articles with short description|Category:Male critics of feminism|Category:Masculists|Category:Men's rights activists|Category:Pages with Korean IPA|Category:People from Daegu|Category:Short description is different from Wikidata|Category:South Korean LGBTQ rights activists|Category:South Korean agnostics|Category:Suicides by drowning in South Korea|Category:Suicides by jumping in South Korea|Category:Use American English from December 2016|Category:Use mdy dates from December 2016|Category:Webarchive template wayback links|Category:Yeungnam University alumni,Sung Jae-gi,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%B8%E0%A7%81%E0%A6%82_%E0%A6%9C%E0%A7%87%E0%A6%97%E0%A6%BF
42,"আবুল কাশেম ফজলুল হক (অক্টোবর ১৬, মারি ১৮৯৩ - এপ্রিল ২৭, মারি ১৯৬২) হুরু করে এ. কে. ফজলুল হক, আবকচায় তারে বাংলার বাঘগ বুলিয়া শের-এ বাংলা নাংহান থদিলা, কততাই তারে হক সাহেব বুলিয়াউ ডাকলা। গিরক বাংলাদেশর বাঙালি রাজনীতিবিদগ। যুক্তফ্রন্ট হংকরানিত গিরকে চিংকরিসিল।",Category:1873 births|Category:1962 deaths|Category:19th-century Bengalis|Category:20th-century Bengalis|Category:A. K. Fazlul Huq|Category:All-India Muslim League politicians|Category:All articles with unsourced statements|Category:Articles containing Bengali-language text|Category:Articles with short description|Category:Articles with unsourced statements from March 2023|Category:Bangladeshi people of Bihari descent|Category:Barishal Zilla School alumni|Category:Bengal MLAs 1937–1945|Category:Bengal MLAs 1946–1947|Category:Bengali Muslims|Category:Bengali politicians|Category:Burials in Dhaka|Category:CS1 Bengali-language sources (bn)|Category:CS1 uses Bengali-language script (bn)|Category:Chief ministers of East Pakistan|Category:East Pakistan MLAs 1954–1958|Category:EngvarB from September 2014|Category:Founders of Indian schools and colleges|Category:Governors of East Pakistan|Category:Indian National Congress politicians|Category:Indian independence activists from Bengal|Category:Indian lawyers|Category:Indian people of World War II|Category:Indian political party founders|Category:Krishak Sramik Party|Category:Krishak Sramik Party politicians|Category:Leaders of the Pakistan Movement|Category:Mayors of Kolkata|Category:Pages with Bengali IPA|Category:Pakistan Movement activists from Bengal|Category:Pakistani MNAs 1947–1954|Category:Pakistani MNAs 1955–1958|Category:Pakistani lawyers|Category:Pakistani political party founders|Category:People from Jhalokati district|Category:People from Patuakhali district|Category:Politicians from East Pakistan|Category:Short description is different from Wikidata|Category:University of Calcutta alumni|Category:Use dmy dates from February 2024|Category:Wikipedia semi-protected pages,A.K. Fazlul Huq,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%86%E0%A6%AC%E0%A7%81%E0%A6%B2_%E0%A6%95%E0%A6%BE%E0%A6%B6%E0%A7%87%E0%A6%AE_%E0%A6%AB%E0%A6%9C%E0%A6%B2%E0%A7%81%E0%A6%B2_%E0%A6%B9%E0%A6%95
43,"তিতুমীর, হবা নাঙহান সৈয়দ মীর নিসার আলী (জরম জানুয়ারি ২৭, ১৭৮২, ১৪ই মাঘ, ১১৮২ বঙ্গাব্দ, দৌ অনা নভেম্বর ১৯, ১৮৩১) গিরক এগো ব্রিটিশ বিরোধী লালফামী আগো। জমিদার বারো ব্রিটিশর লগে লালফাম বারো তাঁর নাংকরা বাঁশের কেল্লারকা নাঙ পালসে। ব্রিটিশ সেনার লগে যুদ্ধ জরানি অবস্থায় এরে বাঁশের কেল্লা এগতই গিরক এগোর মৃত্যু অইল।",Category:1782 births|Category:1831 deaths|Category:18th-century Bengalis|Category:19th-century Bengalis|Category:19th-century Indian Muslims|Category:All Wikipedia articles written in Indian English|Category:All articles that are excessively detailed|Category:All articles with style issues|Category:Articles with short description|Category:Bengali Muslims|Category:Indian Islamic studies scholars|Category:Indian Islamists|Category:Indian Muslims|Category:Indian independence activists from Bengal|Category:Indian people of Arab descent|Category:Indian rebels|Category:Indian revolutionaries|Category:People from Basirhat|Category:People from North 24 Parganas district|Category:People from Pirojpur District|Category:Quranic scholars|Category:Rebellions in India|Category:Short description is different from Wikidata|Category:Use Indian English from August 2018|Category:Use dmy dates from August 2018|Category:Wikipedia articles that are excessively detailed from March 2023|Category:Wikipedia articles with style issues from March 2023,Titumir,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%A4%E0%A6%BF%E0%A6%A4%E0%A7%81%E0%A6%AE%E0%A7%80%E0%A6%B0
44,শক্তি চট্টোপাধ্যায় বাংলা সাহিত্যর হাংরি কাব্যান্দোলনর নাঙজাদা কবি। গিরক এগোর জরম ১৯৩৪ সনর ২৫ নভেম্বর; মৃত্যু ১৯৯৫ সনর ২৩ মার্চ।,"Category:1934 births|Category:1995 deaths|Category:20th-century Bengali poets|Category:20th-century Indian poets|Category:20th-century Indian translators|Category:Academic staff of Visva-Bharati University|Category:All Wikipedia articles written in Indian English|Category:All articles needing additional references|Category:Articles needing additional references from October 2012|Category:Articles with Internet Archive links|Category:Articles with short description|Category:Bengali-language writers|Category:Bengali Hindus|Category:Bengali male poets|Category:CS1 Bengali-language sources (bn)|Category:CS1 errors: periodical ignored|Category:City College, Kolkata alumni|Category:Hungry generation|Category:Indian male poets|Category:Indian male writers|Category:People from Jaynagar Majilpur|Category:People from South 24 Parganas district|Category:Poets from West Bengal|Category:Recipients of the Gangadhar National Award|Category:Recipients of the Sahitya Akademi Award in Bengali|Category:Short description is different from Wikidata|Category:Translators of Omar Khayyám|Category:University of Calcutta alumni|Category:Use Indian English from September 2018|Category:Use dmy dates from September 2018|Category:Writers from Kolkata",Shakti Chattopadhyay,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%B6%E0%A6%95%E0%A7%8D%E0%A6%A4%E0%A6%BF_%E0%A6%9A%E0%A6%9F%E0%A7%8D%E0%A6%9F%E0%A7%8B%E0%A6%AA%E0%A6%BE%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%AF%E0%A6%BC
45,"গোকুলানন্দ গীতিস্বামী গিরক এগরে বিষ্ণুপ্রিয়া মণিপুরী  জাতর জনকগো বুলিয়া মাততারা। গোকুলানন্দ গীতিস্বামী গিরক এগই বিষ্ণুপ্রিয়া মণিপুরী সমাজেত্ত নিরক্ষরতা,অন্ধবিশ্বাস,কু-সংস্কার, ভ্রষ্টাচার, অনাচার বারো অরাজকতা কিতা কিতি সেচানিরকা মহতী সমাজ সংস্কারর লালফাম অকরেসিল। এতাবাদে গিরক এগই বিষ্ণুপ্রিয়া মণিপুরী সমাজ নিয়া নিয়ামপারা সমাজ-সংস্কারমুলক এলা, কবিতা, নাটক বারো আরতাউ নানান রচনা ইকরিয়া বিষ্ণুপ্রিয়া মণিপুরী জাত, সংস্কৃতি বারো ঠাররহানরে গজে কাকরিয়া গেসেগা। সমাজ-সংস্কার বারো জাগরনে নিয়াম ভুমিকা থনায় গিরক এগ গীতিস্বামী উপাধি পাসিল।",,Gokulanada Gitiswami,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%97%E0%A7%8B%E0%A6%95%E0%A7%81%E0%A6%B2%E0%A6%BE%E0%A6%A8%E0%A6%A8%E0%A7%8D%E0%A6%A6_%E0%A6%97%E0%A7%80%E0%A6%A4%E0%A6%BF%E0%A6%B8%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%AE%E0%A7%80
46,দেবী রায় বাংলা সাহিত্যর হাংরি কাব্যান্দোলনের নাঙজাদা কবি। গিরক এগোর জরম ১৯৪০ সনর ৪ আগস্ট হাওড়া শহরে।,Category:1940 births|Category:20th-century Bengali poets|Category:20th-century Indian male writers|Category:20th-century Indian poets|Category:All Wikipedia articles written in Indian English|Category:All articles lacking in-text citations|Category:All stub articles|Category:Articles lacking in-text citations from September 2018|Category:Articles with short description|Category:Bengali-language poets|Category:Bengali male poets|Category:Hungry generation|Category:Indian male poets|Category:Indian poet stubs|Category:Indian postmodern writers|Category:Living people|Category:Poets from West Bengal|Category:Short description is different from Wikidata|Category:University of Calcutta alumni|Category:Use Indian English from September 2018|Category:Use dmy dates from September 2018,Debi Roy,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%A6%E0%A7%87%E0%A6%AC%E0%A7%80_%E0%A6%B0%E0%A6%BE%E0%A6%AF%E0%A6%BC
47,ফালগুনি রায় বাংলা সাহিত্যর হাংরি কাব্যান্দোলনের নাঙজাদা কবি। গিরক এগোর জরম ১৯৪৫ সনরা ৭ জুন; মৃত্যু ১৯৮১ সনর ৩১ মে।,Category:1945 births|Category:1981 deaths|Category:20th-century Indian male writers|Category:20th-century Indian poets|Category:All Wikipedia articles written in Indian English|Category:All articles needing additional references|Category:Articles needing additional references from October 2018|Category:Articles with short description|Category:Bengali-language poets|Category:Bengali male poets|Category:Hungry generation|Category:Indian male poets|Category:Poets from West Bengal|Category:Short description is different from Wikidata|Category:University of Calcutta alumni|Category:Use Indian English from October 2018|Category:Use dmy dates from February 2022|Category:Writers from Kolkata,Falguni Roy,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%AB%E0%A6%BE%E0%A6%B2%E0%A6%97%E0%A7%81%E0%A6%A8%E0%A6%BF_%E0%A6%B0%E0%A6%BE%E0%A6%AF%E0%A6%BC
48,"জয়া (ইংরেজি:Joya), ভারতর উত্তর প্রদেশ রাজ্যর জয়তিবা ফুলে নগর জিলার নগর পঞ্চায়েত-শাসিত শহর আগ।",Category:All article disambiguation pages|Category:All disambiguation pages|Category:Disambiguation pages|Category:Disambiguation pages with given-name-holder lists|Category:Disambiguation pages with surname-holder lists|Category:Feminine given names|Category:Short description is different from Wikidata,Joya,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%9C%E0%A6%AF%E0%A6%BC%E0%A6%BE
49,"লক্ষ্মণ সেন মধ্যযুগর বাংলার সেন রাজবংশর চতুর্থ রাজাগো। গিরকে ১১৭৯  এত্ত ১২০৬ খ্রীষ্টাব্দ পেয়া শাসন করেসিল। তার আগে শাসন করিয়া গেলগা বাপক বল্লাল সেন । লক্ষ্মন সেন গিরকে তার রাজত্বউহানরে কামরূপ (এবাকা অসম), কলিঙ্গ (এবাকা উড়িষ্যা), বারো কাশী পেয়া দাঙর করেসিল।  ১২০৬ খ্রীষ্টাব্দত তুরকি সেনাপতি ইখতিয়ার উদ্দিন মুহম্মদ বিন বখখতিয়ার খিলজির বাহিনীর আতে সেন রাজবংশর পতন অইল।",Category:1206 deaths|Category:All stub articles|Category:Articles containing Bengali-language text|Category:Articles with short description|Category:Bangladesh history stubs|Category:Indian history stubs|Category:Sena kings|Category:Short description is different from Wikidata|Category:Use dmy dates from July 2019,Lakshman Sen,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%B2%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A7%8D%E0%A6%AE%E0%A6%A3_%E0%A6%B8%E0%A7%87%E0%A6%A8
50,শশাঙ্ক থাইনাকার আমলর বাংলার শাসক আগো। গিরকে বাংলার নানান হুরুকাং রাজ্যউতারে আকহাত তিলকরিয়া গৌড় নাঙর জনপদ আগো হঙকরেসিল। তা খ্রীস্টিয় ৭ম শতাব্দীত রাজত্ব করেসিল বুলিয়া গবেষকে নিঙকরতারা। কুনো কুনোতাই বারো গিরক এগো ৬০০ এত্ত ৬২৫ খ্রীস্টাব্দ পেয়া রাজত্ব করেসিল। তাঁর রাজধানীহার নাঙহান কর্ণসুবর্ণ বা কানসোনা।,Category:6th-century Indian monarchs|Category:7th-century Indian monarchs|Category:All Wikipedia articles written in Indian English|Category:All articles with unsourced statements|Category:Articles with short description|Category:Articles with unsourced statements from March 2021|Category:Articles with unsourced statements from November 2019|Category:CS1 Bengali-language sources (bn)|Category:CS1 maint: date and year|Category:CS1 maint: location missing publisher|Category:Kings of Gauda|Category:Rulers of Bengal|Category:Short description is different from Wikidata|Category:Use Indian English from November 2016|Category:Use dmy dates from November 2016,Shashanka,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%B6%E0%A6%B6%E0%A6%BE%E0%A6%99%E0%A7%8D%E0%A6%95
51,মলয় রায়চৌধুরী বাংলা সাহিত্যর উত্তরাধুনিক হাংরি কাব্যান্দোলনর রূপকারগো বুলানি য়াকরের। গিরক এগোর জরম ১৯৩৯ সনর ২৯ অক্টোবর বিহারর পাটনা শহরে। কবিতার লগে লগে গিরকে আবকসা এলাউ লিখিসে।,Category:1939 births|Category:2023 deaths|Category:20th-century Bengali poets|Category:20th-century Indian male writers|Category:20th-century Indian novelists|Category:20th-century Indian poets|Category:All articles covered by WikiProject Wikify|Category:All articles needing additional references|Category:All articles needing references cleanup|Category:Articles covered by WikiProject Wikify from October 2012|Category:Articles needing additional references from October 2023|Category:Articles with hCards|Category:Articles with multiple maintenance issues|Category:Articles with short description|Category:Bengali-language poets|Category:Bengali male poets|Category:Biography with signature|Category:CS1 Bengali-language sources (bn)|Category:CS1 errors: missing periodical|Category:Commons category link is on Wikidata|Category:Hungry generation|Category:Indian male novelists|Category:Indian male poets|Category:Indian postmodern writers|Category:Novelists from Bihar|Category:Oriental Seminary alumni|Category:Poets from Bihar|Category:Short description is different from Wikidata|Category:Use British English from March 2013|Category:Use dmy dates from June 2022|Category:Wikipedia references cleanup from October 2012|Category:Writers from Patna,Malay Roy Choudhury,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%AE%E0%A6%B2%E0%A6%AF%E0%A6%BC_%E0%A6%B0%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%9A%E0%A7%8C%E0%A6%A7%E0%A7%81%E0%A6%B0%E0%A7%80
52,"রবার্ট সার্ভিস (জরম অক্টোবর ২৯, ১৯৪৭) তিলপারাজ্যর ইতিহাসবিদ আগো। গিরকে মূলত বিংশ শতাব্দীর রাশিয়া নিয়া গবেষণা করে যারগা। গিরক এগো অক্সফোর্ড বিশ্ববিদ্যালয়ত রুশ ইতিহাসর অধ্যাপক পদফামে নিয়োজিত আসে। তার ইকরা দুহান জীবনি সমালোচকরাঙ বহুল প্রশংসিত অসে। পয়লাকার উহান লেনিনর জীবনিহান, থাঙনার অহান বারো স্টালিনর জীবনিহান ।গিরক এগো এবাকা কমিউনিস্ট বিপ্লবর আরেক কর্ণধার ট্রট্‌স্কির জীবনলো গবেষনা করে যারগা।",Category:All article disambiguation pages|Category:All disambiguation pages|Category:Human name disambiguation pages|Category:Short description is different from Wikidata,Robert Service,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%B0%E0%A6%AC%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%9F_%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%AD%E0%A6%BF%E0%A6%B8
53,"গ্রাকা ৱারানহা (পর্তুগীজ:Graça Aranha), এহান ব্রাজিলর ঔয়াংমুঙ লয়ার মারানহো রাজ্যর পৌরসভা আহান।","Category:1868 births|Category:1931 deaths|Category:20th-century Brazilian male writers|Category:20th-century Brazilian novelists|Category:Articles with LibriVox links|Category:Articles with short description|Category:Brazilian diplomats|Category:Brazilian male novelists|Category:Commons category link from Wikidata|Category:Members of the Brazilian Academy of Letters|Category:Modernist writers|Category:People from São Luís, Maranhão|Category:Short description is different from Wikidata",Graça Aranha,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%BE%E0%A6%95%E0%A6%BE_%E0%A7%B1%E0%A6%BE%E0%A6%B0%E0%A6%BE%E0%A6%A8%E0%A6%B9%E0%A6%BE
54,"মোনটেইরো লোবাটো (পর্তুগীজ:Monteiro Lobato), এহান ব্রাজিলর খামুঙ লয়ার সাও পাউলো রাজ্যর পৌরসভা আহান।",Category:1882 births|Category:1948 deaths|Category:20th-century Brazilian journalists|Category:20th-century Brazilian male writers|Category:20th-century Brazilian novelists|Category:20th-century Brazilian translators|Category:All articles needing additional references|Category:All articles with unsourced statements|Category:Articles needing additional references from August 2016|Category:Articles with LibriVox links|Category:Articles with short description|Category:Articles with unsourced statements from November 2024|Category:Brazilian art critics|Category:Brazilian children's writers|Category:Brazilian eugenicists|Category:Brazilian fantasy writers|Category:Brazilian folklorists|Category:Brazilian magazine founders|Category:Brazilian male novelists|Category:Brazilian publishers (people)|Category:Brazilian science fiction writers|Category:CS1 Brazilian Portuguese-language sources (pt-br)|Category:CS1 errors: generic name|Category:Commons category link is on Wikidata|Category:English–Portuguese translators|Category:Pages with Portuguese IPA|Category:People from Taubaté|Category:Proponents of scientific racism|Category:Short description matches Wikidata|Category:University of São Paulo alumni|Category:Use mdy dates from December 2013|Category:Webarchive template wayback links,Monteiro Lobato,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%AE%E0%A7%8B%E0%A6%A8%E0%A6%9F%E0%A7%87%E0%A6%87%E0%A6%B0%E0%A7%8B_%E0%A6%B2%E0%A7%8B%E0%A6%AC%E0%A6%BE%E0%A6%9F%E0%A7%8B
55,ইউজিন আমরি(ফরাসি ভাষায়: Eugene Emmanuel Amaury-Duval) ( ১৮০৮ - ১৮৮৫) ছিল একটি ফরাসি নব্যধ্রুপদী চিত্রকর। :,Category:1808 births|Category:1885 deaths|Category:19th-century French male artists|Category:19th-century French painters|Category:Articles with short description|Category:Commons category link is on Wikidata|Category:French male painters|Category:People from Montrouge|Category:Short description is different from Wikidata,Eugène Emmanuel Amaury Duval,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%87%E0%A6%89%E0%A6%9C%E0%A6%BF%E0%A6%A8_%E0%A6%86%E0%A6%AE%E0%A6%B0%E0%A6%BF
56,"শ্রীচৈতন্য মহাপ্রভু (১৪৮৬ খ্রিঃ – ১৫৩৩ খ্রিঃ) আসিলতায় ভারতবর্ষে আবির্ভূত নিয়াম লোকপ্রিয় বৈষ্ণব  সন্ন্যাসী, ধর্মগুরু মহাপুরুষ আগো বারো ষোড়শ শতাব্দীর বিশিষ্ট সমাজ সংস্কারক। তা গৌড়বঙ্গের নদিয়ার নবদ্বীপে (এপাগা পশ্চিমবঙ্গের নদিয়া জেলা) হিন্দু ব্রাহ্মণ পণ্ডিত শ্রীজগন্নাথমিশ্র বারো শ্রীমতী শচীদেবীর ঘরে জরম ইসিল। গিরকরে শ্রীরাধাকৃষ্ণের যুুুগল প্রেমাবতার বুলতারা। শ্রীকৃষ্ণচৈতন্য আসিলতা শ্রীমদ্ভাগবত পুরাণ বারো শ্রীমদ্ভগবদ্গীতায় উল্লিখিত দর্শনের ভিত্তিতে ভক্তিযোগ ভাগবত দর্শনের বিশিষ্ট প্রবক্তা বারো প্রচারক। তা বিশেষত পরম সত্ত্বা রাধা বারো কৃষ্ণর  উপাসনা প্রচার করেসিল। জাতিবর্ণ নির্বিশেষে ব্রাহ্মণেত ধরিয়া ক্ষুদ্র নৃগোষ্ঠী পেয়া শ্রীহরি নাম, ভক্তি ও হরেকৃষ্ণ মহামন্ত্র বিলি করেসিল যেহান শ্রীকলিসন্তরন উপনিষদে ও শ্রীপদ্মপুরাণের হরপার্বতী সংবাদে উল্লেখ অসে। হরেকৃষ্ণ মহামন্ত্র এহানরে  কলিযুগে জড়জগৎ অহানাত্ত মুক্তি পেইয়া পারমার্থিক ধামে থুঙনার একমাত্র পন্থা হিসেবে গন্য করানি অর।",Category:1486 births|Category:1533 deaths|Category:16th-century Hindu religious leaders|Category:16th-century Indian philosophers|Category:All Wikipedia articles written in Indian English|Category:All articles lacking reliable references|Category:All articles with broken links to citations|Category:All articles with failed verification|Category:All articles with unsourced statements|Category:Anti-caste activists|Category:Articles containing Bengali-language text|Category:Articles containing Sanskrit-language text|Category:Articles having different image on Wikidata and Wikipedia|Category:Articles lacking reliable references from October 2020|Category:Articles prone to spam from March 2017|Category:Articles with Internet Archive links|Category:Articles with failed verification from August 2024|Category:Articles with short description|Category:Articles with unsourced statements from August 2024|Category:Bengali Hindu saints|Category:Bengali Hindus|Category:Bhakti movement|Category:Brahmins who fought against discrimination|Category:CS1 Bengali-language sources (bn)|Category:Chaitanya Mahaprabhu|Category:Devotees of Jagannath|Category:Devotees of Krishna|Category:Dvaitin philosophers|Category:Gaudiya religious leaders|Category:Hindu ascetics|Category:Hindu mystics|Category:Hindu philosophers and theologians|Category:Hindu revivalists|Category:Indian Hindu monks|Category:Indian Hindu spiritual teachers|Category:Indian Vaishnavites|Category:Indian social reformers|Category:Kirtan performers|Category:Pages using Sister project links with hidden wikidata|Category:People considered avatars by their followers|Category:People from Nadia district|Category:People from Sylhet District|Category:People from the Bengal Sultanate|Category:Scholars from Odisha|Category:Scholars from West Bengal|Category:Short description is different from Wikidata|Category:Use Indian English from February 2024|Category:Use dmy dates from February 2024|Category:Vaishnava saints|Category:Webarchive template wayback links,Chaitanya Mahaprabhu,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%B6%E0%A7%8D%E0%A6%B0%E0%A7%80%E0%A6%9A%E0%A7%88%E0%A6%A4%E0%A6%A8%E0%A7%8D%E0%A6%AF_%E0%A6%AE%E0%A6%B9%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AD%E0%A7%81
57,"রুয় বার্বোসা (পর্তুগীজ:Ruy Barbosa), এহান ব্রাজিলর ঔয়াংমুঙ লয়ার বাহিয়া রাজ্যর পৌরসভা আহান।","Category:1849 births|Category:1923 deaths|Category:19th-century Brazilian lawyers|Category:Articles with Internet Archive links|Category:Articles with Portuguese-language sources (pt)|Category:Articles with short description|Category:Biography articles needing translation from Portuguese Wikipedia|Category:Brazilian Roman Catholics|Category:Brazilian abolitionists|Category:Brazilian diplomats|Category:Brazilian judges of international courts and tribunals|Category:Brazilian male writers|Category:Brazilian people of Portuguese descent|Category:CS1 Portuguese-language sources (pt)|Category:Candidates for President of Brazil|Category:Commons link from Wikidata|Category:Members of the Brazilian Academy of Letters|Category:Members of the Federal Senate (Brazil)|Category:Ministers of finance of Brazil|Category:Ministers of justice of Brazil|Category:Permanent Court of International Justice judges|Category:Politicians from Salvador, Bahia|Category:Short description is different from Wikidata|Category:Translators to Portuguese|Category:Use dmy dates from August 2016",Ruy Barbosa,bpy,https://bpy.wikipedia.org/wiki/%E0%A6%B0%E0%A7%81%E0%A6%AF%E0%A6%BC_%E0%A6%AC%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A7%8B%E0%A6%B8%E0%A6%BE
